date,open,high,low,close,volume,ticker
2025-06-13,174.54,181.105,172.385,174.67,170953764.0,GOOGL
2025-06-20,174.73,177.3648,165.46,166.64,156729692.0,GOOGL
2025-06-27,166.27,178.68,162.0,178.53,273611176.0,GOOGL
2025-07-03,180.78,181.23,173.53,179.53,150102058.0,GOOGL
2025-07-11,179.06,181.43,172.77,180.19,181179085.0,GOOGL
2025-07-18,181.01,186.42,179.68,185.06,165096150.0,GOOGL
2025-07-25,186.25,197.95,186.15,193.18,263812842.0,GOOGL
2025-08-01,193.65,197.5999,187.82,189.13,198135406.0,GOOGL
2025-08-08,190.29,202.61,190.12,201.42,150196235.0,GOOGL
2025-08-15,200.935,206.44,197.5101,203.9,144761658.0,GOOGL
2025-08-22,204.2,208.54,196.595,206.09,134323998.0,GOOGL
2025-08-29,206.43,214.645,205.28,212.91,153483529.0,GOOGL
2025-09-05,208.44,235.76,206.195,235.0,247886406.0,GOOGL
2025-09-12,235.47,242.25,233.229,240.8,163047714.0,GOOGL
2025-09-19,244.66,256.0,244.66,254.72,213412406.0,GOOGL
2025-09-26,254.43,255.78,240.74,246.54,136643134.0,GOOGL
2025-10-03,247.85,251.1486,238.61,245.35,154621214.0,GOOGL
2025-10-10,244.78,251.32,235.84,236.57,134455451.0,GOOGL
2025-10-17,240.21,256.96,239.71,253.3,131783078.0,GOOGL
2025-10-24,254.69,261.68,244.15,259.92,153248174.0,GOOGL
2025-10-31,264.815,291.59,264.28,281.19,222698007.0,GOOGL
2025-11-07,282.175,288.35,275.19,278.83,161800853.0,GOOGL
2025-11-14,284.42,292.005,270.7,276.41,135370635.0,GOOGL
2025-11-21,285.775,306.42,278.2,299.66,306190794.0,GOOGL
2025-11-28,311.13,328.83,309.595,320.18,251189126.0,GOOGL
2025-12-05,317.7,323.16,313.89,321.27,177597419.0,GOOGL
