date,open,high,low,close,volume,ticker
2025-06-13,266.0,269.6199,262.71,264.95,36973854.0,JPM
2025-06-20,267.0,277.72,266.85,275.0,38861395.0,JPM
2025-06-27,275.06,289.41,272.1128,287.11,51000096.0,JPM
2025-07-03,290.4,296.4,286.59,296.0,36727754.0,JPM
2025-07-11,295.25,296.04,280.31,286.86,51338910.0,JPM
2025-07-18,287.07,292.5,283.01,291.27,52312341.0,JPM
2025-07-25,291.0,299.5899,289.18,298.62,34619229.0,JPM
2025-08-01,297.66,301.2931,284.2376,289.37,48294641.0,JPM
2025-08-08,290.26,295.785,284.706,288.76,34853645.0,JPM
2025-08-15,289.4,295.5,287.16,290.49,36165453.0,JPM
2025-08-22,290.0,297.16,287.27,296.24,33969628.0,JPM
2025-08-29,296.24,302.95,293.5001,301.42,31834435.0,JPM
2025-09-05,300.26,305.15,294.31,294.38,29839161.0,JPM
2025-09-12,294.89,307.55,291.44,306.91,38613168.0,JPM
2025-09-19,307.17,315.8,307.1347,314.78,57924596.0,JPM
2025-09-26,309.8,317.81,309.555,316.06,37756457.0,JPM
2025-10-03,317.06,318.01,306.14,310.03,41150795.0,JPM
2025-10-10,310.18,311.7474,300.81,300.89,37816318.0,JPM
2025-10-17,305.6,312.1199,294.2,297.56,59025114.0,JPM
2025-10-24,298.5,304.05,290.5448,300.44,34988869.0,JPM
2025-10-31,302.16,312.87,301.01,311.12,34734392.0,JPM
2025-11-07,311.0,314.84,305.1,314.21,36196143.0,JPM
2025-11-14,315.0,322.25,301.23,303.61,40703228.0,JPM
2025-11-21,304.0,309.92,292.8101,298.02,41236308.0,JPM
2025-11-28,298.24,313.72,294.51,313.08,32050673.0,JPM
2025-12-05,312.95,318.49,306.8,315.04,39217814.0,JPM
