date,open,high,low,close,volume,ticker
2025-06-13,285.955,335.5,281.85,325.31,648868571.0,TSLA
2025-06-20,331.29,332.36,314.74,322.16,376034221.0,TSLA
2025-06-27,327.54,357.54,317.495,323.63,594806066.0,TSLA
2025-07-03,319.9,325.5799,293.21,315.35,399306778.0,TSLA
2025-07-11,291.37,314.09,288.7701,313.51,493613175.0,TSLA
2025-07-18,317.73,330.9,310.5,329.65,421062425.0,TSLA
2025-07-25,334.4,338.0,300.41,316.06,550885974.0,TSLA
2025-08-01,318.45,330.49,297.82,302.63,458356923.0,TSLA
2025-08-08,309.08,335.15,303.0001,329.65,373027753.0,TSLA
2025-08-15,335.0,348.98,327.02,330.56,403169631.0,TSLA
2025-08-22,329.62,340.55,314.6,340.01,360155114.0,TSLA
2025-08-29,338.9,355.39,331.7,333.87,377889483.0,TSLA
2025-09-05,328.23,355.87,325.6,350.84,316331664.0,TSLA
2025-09-12,354.64,396.6899,343.82,395.94,473058361.0,TSLA
2025-09-19,423.13,432.2199,402.43,426.07,557828463.0,TSLA
2025-09-26,431.11,444.98,419.08,440.4,472039624.0,TSLA
2025-10-03,444.35,470.75,416.575,429.83,522168885.0,TSLA
2025-10-10,440.75,453.55,411.45,413.49,440260886.0,TSLA
2025-10-17,423.53,441.4558,417.86,439.31,390301875.0,TSLA
2025-10-24,443.865,451.68,413.9,433.72,423592205.0,TSLA
2025-10-31,439.98,467.0,438.69,456.56,409620483.0,TSLA
2025-11-07,455.99,474.07,421.88,429.52,470358201.0,TSLA
2025-11-14,439.6,449.6715,382.78,404.35,420017378.0,TSLA
2025-11-21,398.74,428.94,383.76,391.09,468960060.0,TSLA
2025-11-28,402.17,432.93,401.09,430.17,268437855.0,TSLA
2025-12-05,425.32,458.87,422.12,455.0,342244917.0,TSLA
